date,cash,position_value,mkt_value
2026-04-10,116631.0,-15042.0,101589.0
2026-04-13,102070.0,-989.0,101081.0
2026-04-14,102070.0,-1379.0,100691.0
2026-04-15,102070.0,-1719.0,100351.0
2026-04-16,102070.0,-1498.0,100572.0
2026-04-17,90029.0,10063.0,100092.0
2026-04-20,90029.0,10042.0,100071.0
2026-04-21,90029.0,10029.0,100058.0
2026-04-22,90029.0,10103.0,100132.0
2026-04-23,90029.0,10308.0,100337.0
2026-04-24,90029.0,10355.0,100384.0
2026-04-27,90029.0,10293.0,100322.0
2026-04-28,90029.0,10351.0,100380.0
2026-04-29,90029.0,10375.0,100404.0
2026-04-30,100613.0,0.0,100613.0
2026-05-01,100891.0,0.0,100891.0
